Age,Weight (kg),Height (m),BMI,Fat_Percentage,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Water_Intake (liters),Workout_Frequency (days/week),Gender,Workout_Type,Experience_Level,Calories_Burned,Cluster,PCA1,PCA2
47,75.3,1.72,25.4,41.2,177,166.0,63,0.71,1.24,4,Female,HIIT,Intermediate,472.0,1,-0.22250379390338465,-0.048688003362927806
30,86.1,1.74,28.5,33.9,173,136.0,74,0.8,0.84,3,Female,Strength,Intermediate,349.0,1,-1.005728862752711,-0.7978427157381893
29,60.8,1.64,22.7,34.4,189,122.0,66,0.82,0.87,7,Female,Yoga,Advanced,169.0,1,-1.3907217868117348,-2.2092994288196914
23,65.5,1.61,25.2,15.7,182,163.0,67,0.62,1.29,5,Female,HIIT,Intermediate,402.0,0,-0.5543280672166917,0.052156056321252746
18,65.4,1.71,22.3,23.6,192,161.0,68,1.38,2.27,1,Female,Cardio,Beginner,601.0,2,3.3201632460175654,1.4697766778156947
39,80.8,1.75,26.3,17.2,185,131.0,80,1.24,1.4,2,Male,Yoga,Beginner,333.0,2,0.9094369663412308,0.18066580997070097
60,55.1,1.57,22.3,32.5,183,180.0,74,0.67,1.6,4,Female,HIIT,Intermediate,355.0,0,-0.23105188616517636,1.3235044565881773
27,71.0,1.79,22.2,25.1,181,173.0,74,0.6,1.03,5,Male,HIIT,Intermediate,466.0,0,-0.6999084251563257,0.8765470389892921
36,76.7,1.71,26.4,31.6,182,151.0,71,1.0,1.55,3,Male,Cardio,Beginner,518.0,2,1.2272233530492174,0.4811293938438201
58,63.7,1.62,24.3,32.4,163,125.0,72,1.12,2.02,4,Female,Strength,Intermediate,389.0,1,1.6198323859691628,-1.9183682782645461
51,46.4,1.63,17.5,30.1,167,130.0,63,0.97,0.96,3,Female,Strength,Intermediate,304.0,1,-0.621942870879431,-2.03717685173209
18,55.3,1.69,19.3,23.2,190,130.0,67,0.88,0.96,4,Female,Yoga,Advanced,189.0,1,-1.1052575773772473,-1.138278778304095
39,68.4,1.83,20.4,25.2,187,172.0,56,0.55,0.93,5,Male,HIIT,Intermediate,379.0,0,-1.2259888321047356,0.02698013803520491
24,62.7,1.71,21.4,30.0,187,178.0,61,0.43,0.96,5,Female,HIIT,Intermediate,239.0,0,-2.091355306385524,0.3908117511510575
28,76.3,1.7,26.4,22.1,204,158.0,72,0.61,0.93,2,Male,Strength,Beginner,208.0,0,-1.6127762534075263,1.7955858243548273
28,74.0,1.7,25.6,13.6,191,169.0,85,0.43,1.06,3,Male,Cardio,Intermediate,281.0,0,-1.6564924757712165,2.1472767379315
44,83.8,1.7,28.8,17.1,170,126.0,64,1.27,1.84,1,Male,Strength,Beginner,500.0,2,2.21115491182604,-1.0684888610798704
26,65.5,1.54,27.7,36.1,187,165.0,63,1.13,1.49,4,Female,Cardio,Intermediate,580.0,2,1.5017333552756968,0.2206944542785695
28,81.5,1.68,28.9,28.2,183,166.0,72,0.48,0.94,5,Male,HIIT,Intermediate,416.0,0,-1.2344064889323592,0.6032766103277211
27,67.6,1.58,27.1,33.5,194,187.0,85,0.56,1.21,2,Female,HIIT,Beginner,291.0,0,-1.2825607233706353,3.271778435426227
33,83.1,1.8,25.6,20.1,173,162.0,76,0.56,1.39,1,Male,HIIT,Beginner,348.0,0,-0.6883277786427111,1.3221385353767194
46,88.1,1.74,29.0,34.7,167,136.0,79,1.24,2.35,1,Male,Strength,Beginner,608.0,2,3.248147878894096,0.2500820844751242
35,86.8,1.75,28.3,32.4,179,119.0,66,1.45,1.71,5,Female,Yoga,Advanced,467.0,1,2.2686745257512664,-2.258112731677876
32,78.4,1.73,26.2,31.5,190,128.0,68,1.04,0.94,4,Male,Yoga,Intermediate,304.0,1,-0.2670892123987761,-1.033133849840098
40,81.8,1.66,29.6,31.6,189,180.0,75,0.36,0.88,3,Female,HIIT,Beginner,216.0,0,-2.4631324730781357,2.005584568046663
44,48.4,1.66,17.5,17.9,187,163.0,64,0.48,1.02,4,Female,Cardio,Advanced,180.0,0,-2.04687417852836,0.09072080997327134
18,78.6,1.82,23.7,18.5,199,164.0,75,1.29,1.67,3,Male,Strength,Intermediate,745.0,2,2.877683709529581,1.7749615958106697
56,64.7,1.65,23.6,18.3,169,145.0,61,0.71,1.38,3,Female,Cardio,Intermediate,311.0,1,-0.5608660224248544,-1.2162950760902596
57,79.3,1.65,29.2,26.3,174,159.0,73,0.47,0.39,7,Female,Cardio,Advanced,313.0,0,-2.570152019048821,-0.785434758601884
43,92.2,1.73,30.8,32.3,170,161.0,75,0.61,1.43,1,Female,HIIT,Beginner,465.0,0,-0.21032911141322927,1.1205140544942334
42,55.5,1.7,19.3,35.6,166,162.0,73,0.68,1.27,1,Female,HIIT,Beginner,311.0,0,-0.8943323196416686,0.6223148965723513
47,74.0,1.57,30.2,41.5,178,119.0,61,1.05,1.18,5,Female,Yoga,Intermediate,283.0,1,-0.0765225960817077,-2.562842818689711
36,57.3,1.68,20.3,13.8,176,147.0,69,0.89,1.87,1,Female,Cardio,Beginner,363.0,2,0.7719852448369969,0.30850475603694477
33,63.7,1.76,20.5,14.7,184,149.0,78,1.11,1.28,5,Male,Strength,Intermediate,447.0,2,0.8046024425020291,-0.003154784269134722
33,65.0,1.65,23.9,37.9,186,150.0,73,0.7,1.21,2,Female,Strength,Beginner,257.0,0,-0.9837094518341628,0.7353328047024309
24,68.0,1.7,23.6,20.0,193,164.0,76,1.01,1.85,2,Female,Cardio,Beginner,436.0,2,1.2802221594680672,1.8395775544369564
54,50.9,1.64,18.9,8.0,177,153.0,69,0.75,1.37,3,Female,Cardio,Beginner,258.0,0,-0.6767141572225861,0.008328732828539347
31,73.5,1.64,27.3,31.0,192,155.0,71,0.67,0.7,5,Female,Strength,Intermediate,298.0,0,-1.648173513455437,0.1369825876566478
30,85.8,1.77,27.4,11.3,188,159.0,66,0.78,1.7,1,Male,Cardio,Beginner,474.0,2,0.8121992573371138,1.357207289570182
